"provider","category","theme"
"AI","positive","Well-structured feedback that adheres to principles"
"AI","positive","Support for verbalizing experiences"
"AI","positive","Feedback based on a comprehensive review of the recorded content"
"AI","negative","Insufficient output quality"
"AI","negative","Overly verbose expressions"
"AI","negative","Mismatch with student preferences"
"AI","negative","Limitations due to lack of understanding of the practicum context"
"AI","negative","Lack of expert perspective"
"AI","negative","Variability in feedback quality depending on the content recorded"
"Supervisor","positive","Descriptions that evoke the feeling of being reviewed by a human"
"Supervisor","positive","Feedback that takes into account the practicum context"
"Supervisor","positive","Expert perspective"
"Supervisor","positive","Natural expressions"
"Supervisor","negative","Entries not complying with feedback principles and standards"
"Supervisor","negative","Insufficient amount of description"
"Supervisor","negative","Conflict of interest as an educator"
"Supervisor","negative","Feedback that does not reflect the content of the report"
"Supervisor","negative","Limitations of feedback within a limited time"
