"theme","provider","category","sub_theme","codes","codes_en","refs"
"フィードバック基準や基本構造への準拠","AI","positive","原則に従った整ったフィードバック","PNPという構造, できている点の指摘, フィードバックとしてのバランスの良さ, フィードバックとしての基準への準拠, フィードバック基準への厳密な準拠, 具体例の提示, 具体例を交えた助言, 具体例を挙げた助言, 具体例を挙げた改善点の指摘, 具体例を挙げた詳細な助言, 具体性のあるフィードバック, 具体的で分りやすい助言, 具体的なフィードバック, 具体的な助言, 具体的な指摘, 具体的な改善点の指摘, 具体的な改善点の提示, 分りやすい例示, 十分量のポジティブフィードバック, 受け入れやすい改善点の指摘, 実行に移しやすい具体的な助言, 実行に移しやすい助言, 改善点の例示, 数値を使った具体的な目標の提案",,"AI_18_074, AI_23_151, AI_23_164, AI_07_063, AI_08_072, AI_08_073, AI_08_074, AI_08_077, AI_09_086, AI_07_060, AI_07_061, AI_09_087, AI_09_088, AI_09_095, AI_09_096, AI_11_121, AI_11_122, AI_11_126, AI_11_128, AI_11_130, AI_11_131, AI_11_132, AI_12_135, AI_12_136, AI_04_009, AI_19_091, AI_21_131, AI_21_132, AI_19_085, AI_19_087, AI_20_115, AI_21_120, AI_23_153, AI_10_103, AI_10_104, AI_06_037, AI_05_031, AI_08_070, AI_08_078, AI_08_080, AI_08_082, AI_09_100, AI_11_119, AI_12_141, AI_12_144, AI_15_020, AI_15_021, AI_15_022, AI_16_043, AI_16_051, AI_04_001, AI_04_003, AI_04_005, AI_05_019, AI_16_045, AI_19_092, AI_12_133, AI_12_134, AI_14_002, AI_14_003, AI_14_004, AI_14_005, AI_14_006, AI_14_009, AI_14_011, AI_14_015, AI_14_017, AI_15_018, AI_15_033, AI_15_034, AI_16_036, AI_16_037, AI_16_038, AI_16_040, AI_16_041, AI_21_117, AI_17_055, AI_23_152, AI_16_044, AI_23_149"
"フィードバック基準や基本構造への準拠","AI","negative","学生の好みとの不一致","具体例への非好意的な反応, 型にはまった文章",,"AI_20_115, AI_18_078"
"フィードバック基準や基本構造への準拠","supervisor","negative","フィードバックの原則や基準に準拠しない記載","優先度付けの欠失, 噛み合わない記述, 基準への不適合, 改善点の指摘不足, 改善点の指摘欠失, 改善点の指摘欠如, 改善点の指摘過多, 改善点の提示の欠失, 改善点の提示不足, 改善点の提示欠失, 改善点の提示欠如, 改善点の詳細さの不足, 評価基準への不適合",,"SU_12_136, SU_18_074, SU_09_088, SU_16_037, SU_16_046, SU_18_078, SU_19_086, SU_04_002, SU_04_003, SU_04_013, SU_08_081, SU_08_082, SU_10_112, SU_11_124, SU_11_126, SU_12_138, SU_12_139, SU_13_149, SU_15_033, SU_16_035, SU_13_159, SU_13_163, SU_14_001, SU_14_002, SU_14_003, SU_14_004, SU_14_014, SU_14_017, SU_15_021, SU_15_022, SU_15_023, SU_15_030, SU_16_047, SU_16_048, SU_21_122, SU_21_123, SU_21_126, SU_21_131, SU_22_133, SU_22_139, SU_22_142, SU_22_143, SU_22_146, SU_07_058, SU_04_011, SU_19_095, SU_09_090, SU_19_099, SU_19_100, SU_16_040, SU_11_127"
"文章量","AI","negative","冗長すぎる表現","冗長な表現, 多すぎる指摘項目",,"AI_23_155, AI_16_047"
"文章量","supervisor","negative","不十分な記述量","短い記述, 短すぎる記載, 短すぎる記述, 簡潔な記載, 詳細さの不足",,"SU_04_001, SU_04_002, SU_04_010, SU_05_018, SU_05_026, SU_09_085, SU_13_162, SU_15_020, SU_05_020, SU_05_021, SU_05_031, SU_05_033, SU_09_094, SU_11_122, SU_11_131, SU_14_001, SU_14_002, SU_16_042, SU_16_044, SU_16_048, SU_21_128, SU_21_129, SU_15_034, SU_16_045, SU_16_050"
"日本語としての品質","AI","negative","不十分な出力品質","エスケープシーケンスの混入, マークダウン書式の混入, 一般常識を踏まえない助言, 一貫性のない指摘, 不明確な助言, 不正確な助言, 不正確な解釈, 不自然な口調, 不自然な日本語, 不適格な言語, 事実と異なる記載の混在, 意味としての統合性の破綻, 機械的な口調, 機械的な表現, 機械的な言葉, 正確さに欠ける助言, 記述の不整合, 違和感のある表現, 間違った指摘, 高すぎるテンション",,"AI_18_083, AI_08_083, AI_15_029, AI_14_012, AI_22_134, AI_19_091, AI_19_097, AI_23_152, AI_13_152, AI_13_153, AI_13_155, AI_13_157, AI_13_149, AI_13_154, AI_13_156, AI_13_159, AI_13_162, AI_13_164, AI_16_042, AI_16_043, AI_16_045, AI_16_046, AI_16_049, AI_17_068, AI_05_032, AI_09_094, AI_10_102, AI_14_011, AI_14_015, AI_18_076, AI_18_080, AI_19_088, AI_23_149, AI_10_108, AI_05_033, AI_06_036, AI_07_053, AI_07_054, AI_17_054, AI_14_014, AI_07_058, AI_14_002, AI_18_073, AI_18_075, AI_14_004"
"日本語としての品質","supervisor","positive","人間にみてもらえているという実感を呼び起こす記載","みてもらっているという実感",,"SU_20_109"
"日本語としての品質","supervisor","positive","自然な表現","自然な表現",,"SU_18_079"
"臨床家としての観点","AI","negative","専門家としての観点の欠如","医学的な事項への助言の欠如, 医学的な内容への言及欠失, 医学的な内容を避けた助言, 医学的な目標の無視, 医学的な視点の欠失, 医学的な視点の欠如, 医学的な視点の欠損, 医学的な誤りの見逃し, 医学的内容の理解不十分, 医学的専門性の欠失, 医学的知識に基づかない助言, 医学的知識の欠損, 医学的知識を踏まえない助言, 医師としての視点の欠如, 医療に関する指摘の欠損",,"AI_06_049, AI_06_051, AI_21_117, AI_10_107, AI_12_139, AI_21_118, AI_21_119, AI_21_121, AI_21_122, AI_21_123, AI_21_124, AI_21_127, AI_21_128, AI_21_129, AI_21_130, AI_16_037, AI_16_039, AI_16_040, AI_16_041, AI_16_048, AI_17_063, AI_11_120, AI_11_121, AI_10_113, AI_15_021, AI_22_143, AI_15_024, AI_18_071, AI_19_100, AI_06_050, AI_16_036"
"臨床家としての観点","supervisor","positive","専門家としての観点","医学専門家の観点からの助言, 医学的な誤りの指摘, 医学的な重要事項の取り上げ, 医学的事項の指摘, 医学的知識に関する助言, 医学的知識の助言, 医学的知識の提示, 医学的知識の補足, 医療者としての経験からの助言, 臨床家としてのコメント, 臨床家としての視点からの助言, 臨床的な見地からの意見, 臨床的な観点からの助言, 臨床的意義の提示, 記述内容を医学的に深める記述",,"SU_14_004, SU_06_037, SU_09_091, SU_16_037, SU_16_051, SU_14_016, SU_19_088, SU_17_058, SU_19_097, SU_18_076, SU_15_018, SU_13_152, SU_21_125, SU_11_132, SU_23_150, SU_23_152, SU_16_039, SU_07_061"
