"id","code","category","sub_theme","theme","provider","sub_theme_en","theme_en","code_en","text","text_en","refs"
"AI-001","PNPという構造","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","The structure of PNP","- AI_18_074:ポジティブな言葉で始まり、間に改善点を挟み、ポジティブな言葉で終わるという構造は良いと思います。適宜改行を入れると良いでしょう。","- AI_18_074:I think the structure of starting with positive words, inserting points for improvement in the middle, and ending with positive words is good. It would be good to add line breaks where appropriate.","AI_18_074"
"AI-004","できている点の指摘","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","Pointing out what is being done well","- AI_23_151:冒頭に記録の項目を埋める努力を褒めている点が素晴らしいと感じた。この１プロセスがあることで、具体的な改善策が聞き入れやすくなると感じた。またそのどれも実行可能性がある。
- AI_23_164:全体として具体化を促進しており、とても有用であると思った。さらに毎日記録をつけていることを褒めていた。","- AI_23_151:I thought it was wonderful that the beginning of the feedback praised the effort made to fill in the record items. I felt that having this one process made it easier to listen to specific improvement measures. Also, all of them are feasible.
- AI_23_164:Overall, I thought it was very useful because it promoted concretization. In addition, it praised the fact that they were keeping a record every day.","AI_23_151, AI_23_164"
"AI-006","フィードバックとしてのバランスの良さ","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","Good balance as feedback","- AI_07_063:positiveからconstructiveにはいり、具体例もあり、優先順位も指摘されており、指摘するポイントも多すぎずちょうどよく、いいfeedbackだと思います。
- AI_08_072:非常に具体的なアドバイスを含むフィードバックであり、良いと思う。
- AI_08_073:アドバイスが具体的で、3点にまとまっているので分かりやすい良いフィードバックと思う。
- AI_08_074:アドバイスは具体的で、学生を支持する言葉も入っており、良いフィードバックと思う。
- AI_08_077:医学生を肯定的に支援している良いフィードバックと思う。
- AI_09_086:分量が多く、具体的です。記載方法は古典的なP-N-Pの方式で書かれています。ただ、基本的にはログの記載方法についてのフィードバックであり、必ずしも学生の行動変容をきたすものではないように思います","- AI_07_063:It goes from positive to constructive, there are specific examples, priorities are also pointed out, and the points that are pointed out are not too many, so I think it is good feedback.
- AI_08_072:I think the feedback was very specific and good.
- AI_08_073:I think the feedback was good because it was specific and summarized in three points.
- AI_08_074:I think the feedback was good because it was specific and included words of support for the student.
- AI_08_077:I think this is good feedback that positively supports medical students.
- AI_09_086:It is very specific and detailed. It is written in the classic P-N-P format. However, it is basically feedback on how to write a log, and I don't think it necessarily leads to changes in the student's behavior.","AI_07_063, AI_08_072, AI_08_073, AI_08_074, AI_08_077, AI_09_086"
"AI-007","フィードバックとしての基準への準拠","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","Compliance with criteria as feedback","- AI_07_060:positiveから入り具体的で建設的なfeedbackが入っておりかつポイントも多すぎずよくできたfeedbackです。
- AI_07_061:記載にムラがあることをちゃんと指摘しており日々記録するという「基準」に正しく対応しています。ただし、このレポートであれば2月14日の学んだことに関してpositiveな点をちゃんと見つけてあげるべきだと思いますが抽象的な「素晴らしい実習記録」という言葉にまとめており、このレポートに対してという意味ではpositive feedbackが不足しています。
- AI_07_063:positiveからconstructiveにはいり、具体例もあり、優先順位も指摘されており、指摘するポイントも多すぎずちょうどよく、いいfeedbackだと思います。","- AI_07_060:This is a well-written report that starts with positive feedback, is specific and constructive, and doesn't have too many points.
- AI_07_061:It correctly points out the uneven quality of the writing, and it correctly responds to the “standard” of recording things on a daily basis. However, in this report, I think that the positive points about what was learned on February 14th should be properly identified, but it is summarized in the abstract phrase “wonderful practice record”, and in terms of this report, there is a lack of positive feedback.
- AI_07_063:It goes from positive to constructive, there are specific examples, priorities are also pointed out, and the points that are pointed out are not too many, so I think it is good feedback.","AI_07_060, AI_07_061, AI_07_063"
"AI-009","フィードバック基準への厳密な準拠","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","strict adherence to feedback criteria","- AI_09_087:分量が多く、基準に沿った記載が心がけられていますが、「ログの書き方」に関するフィードバックになっています。
- AI_09_088:ログの記載基準に沿ってフィードバックがされていますが、もともとのログの記載がかなり充実しているため重箱の隅をつついたようなフィードバックになっています。
- AI_09_095:ポートフォリオにそったフィードバックがされています。フィードバック内容も具体的です。
- AI_09_096:記載内容について肯定的なコメントがされ、具体的なフィードバックがされていますが、内容はポートフォリオの書き方に偏っているようにも思われます
- AI_11_121:「蘇生解除」という誤字を指摘していない。無難に次の課題を指摘している。feedback1と比較して、感情的な記載はなく、よく言えば正確、普通に言えば事務的、悪く言えば平板。平均点・正解を基準に置いて、そこから劣る部分の指摘は十分にしているな、と思った。
- AI_11_122:記載のない日があることの指摘など、基準に則したフィードバックはなされていた。平均的、という感じ。実習態度などについての記載はなかった。
- AI_11_126:24歳男性の記述が最後で抜けている点を指摘しているが、おそらくは退院したための記録なしであるのでは。その背景情報は記録から窺えないが、その情報をもとにすれば「退院の計画が立っていたのだからその旨の記録が必要」というフィードバックになるべきか。基準に沿った評価にはなっている。
- AI_11_128:記録と評価基準をしっかり参照しての記載となっている。元の記録があまり質が高くないため、指摘事項が多い分、それらをしっかり指摘できていると思える。
- AI_11_130:基準を踏まえたフィードバックになっている。次になすべきことを示しており今後の行動変容に向けたフィードバックになっている。
- AI_11_131:記録を踏まえて修正すべき点をきちんと述べている。ただ患者リストの内容が毎回同じであることは指摘していないがこれで良いのだろうか？
- AI_11_132:規定に則したフィードバックポイントに沿って評価している。臨床事実に即した実感がfeedback2にはあるのに対して、こちらにはそれがあまりない
- AI_12_135:ポートフォリオの書き方に関してのコメントは具体的でよいが、臨床実習としてのフィードバックがない点は改善したほうがいいと思う。
- AI_12_136:学生がモチベーションを保てるような支援的な言葉がとてもいいと思う。フィードバックの改善点は特にないように思う。","- AI_09_087:Although the feedback is written in a large amount and in accordance with the criteria, it is feedback on how to write a log.
- AI_09_088:Although the feedback is written in accordance with the criteria for writing a log, the original log entry is quite substantial, so the feedback seems to be nitpicking.
- AI_09_095:The feedback is in line with the portfolio. The feedback is also specific.
- AI_09_096:The content of the feedback is positive, and specific, but it seems to focus on how to write the portfolio
- AI_11_121:The reviewer did not point out the typo “resuscitation cancellation”. They pointed out the next task in a safe way. Compared to feedback1, there was no emotional description, and to put it nicely, it was accurate, to put it normally, it was businesslike, and to put it badly, it was flat. I thought that they had set the average score and correct answers as the standard and had sufficiently pointed out the inferior parts from there.
- AI_11_122:The reviewer gave feedback in accordance with the standard, such as pointing out the fact that there were days without descriptions. It was an average-like review. There was no description about the attitude during the practical training.
- AI_11_126:The 24-year-old male student's description is missing the last part, but perhaps this is because he has been discharged from hospital and there is no record of this. Although we cannot tell from the record what the background information is, based on this information, should the feedback be “Since a plan for discharge was in place, a record of this is necessary”? The evaluation is in line with the criteria.
- AI_11_128:The description is based on a thorough reference to the record and evaluation criteria. As the original record was not of very high quality, it seems that the many points for improvement have been properly identified.
- AI_11_130:The feedback is based on the criteria. It indicates what should be done next, and is feedback for future behavioral change.
- AI_11_131:It properly states the points that should be corrected based on the record. However, it does not point out that the content of the patient list is the same every time.
- AI_11_132:The evaluation is based on the feedback points in the regulations. There is a sense of reality in the feedback2 that is based on clinical facts, but this is not the case here.
- AI_12_135:The comments on how to write the portfolio are specific and good, but I think it would be better if there was feedback on the clinical practice.
- AI_12_136:I think the supportive words that help the students to maintain their motivation are very good. I don't think there are any specific points for improvement in the feedback.","AI_09_087, AI_09_088, AI_09_095, AI_09_096, AI_11_121, AI_11_122, AI_11_126, AI_11_128, AI_11_130, AI_11_131, AI_11_132, AI_12_135, AI_12_136"
"AI-036","体験を言語化する補助","positive","経験を言語化する支援","連続性と一貫性","AI","Support for verbalizing experiences","Continuity and consistency","assistance with putting experiences into words","- AI_13_150:良い点：レポート記述について、具体的な記載方法についてフィードバックしている。体験の詳細をより具体的に言語させることで実習から学びをより深められるようアドバイスしている。悪い点：レポートの体裁を整えるところに焦点が置かれている印象にある。欠席と書かれている3/25にさらに具体的な記載を求めるのは無理がある。今後の課題としてあげた新生児患者の一例を用いてCPAPの適応と管理法について深く理解するという設定も実習が終わった後のアプローチとしては無理がある。","- AI_13_150:Good points: The report is being given feedback on the specific methods used to write it. The advice is to make the details of the experience more specific in order to deepen the learning from the practical training. Bad points: The focus seems to be on making the report look presentable. It is unreasonable to ask for more specific details on the 25th, which is written as an absence. The setting of using the example of a newborn patient to deepen understanding of the indications and management methods for CPAP is also unreasonable as an approach after the practical training has finished.","AI_13_150"
"AI-040","具体例の提示","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","Presentation of specific examples","- AI_04_009:記載内容が少ないことに対し、記載例を記入されている印象。良い点は詳細記載を書くことも記載しており、具体例も記載されている点。改善すべき点は特になし。
- AI_19_091:2日分しか記録がないように思うので、「連日記録を行っている点は非常に素晴らしいです。」というフィードバックは正確でないように感じる。学生記録を具体的に記載するようにという指摘とともに、どのような観点で記載すればよいのかを具体例とともに指摘しており、学生の助けとなると思う。
- AI_21_131:「基準」に基づいた評価が行われている。学生記録の記録改善を主に指摘している。具体例を用いながら改善点を示している点が良い。臨床的な部分の記述を促しているが、臨床医学の学習という面での、臨床的な直接的な知識や糸口の提示が乏しいように感じられた。
- AI_21_132:「基準」に基づいた評価がされていると感じた。良い点を明確に示していた点が良い。学生が列挙だけしている用語も、具体的に記載を促すことで学習効果を向上させようとしていた点が良かった。総じて、学生記録の記載の改善を通しての学生の学習を促す形である印象。","- AI_04_009:The impression is that there are few details, but there are examples given. The good points are that it also includes detailed descriptions and gives specific examples. There are no points that need to be improved.
- AI_19_091:As it seems that there are only two days' worth of records, I feel that the feedback “It is very good that you are keeping a record every day” is not accurate. Along with the suggestion that the student's record should be written in more detail, the feedback also gives specific examples of what kind of perspective should be taken when writing the record, which I think will be helpful for the student.
- AI_21_131:The evaluation is based on the “criteria”. The main point is to improve the student records. It is good that it shows the points for improvement using specific examples. Although it encourages the description of clinical aspects, it seems that there is a lack of direct clinical knowledge and clues in terms of learning clinical medicine.
- AI_21_132:I felt that the evaluation was based on “criteria”. It was good that the good points were clearly indicated. It was good that the learning effect was improved by encouraging students to write specific descriptions even for terms that they were just listing. Overall, I got the impression that it was a form of encouraging students to learn through improving the way they write in their student records.","AI_04_009, AI_19_091, AI_21_131, AI_21_132"
"AI-042","具体例を交えた助言","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","Advice with specific examples","- AI_19_085:記載すべき内容について具体例を交えてフィードバックしている点がよい。
- AI_19_087:学生の振り返りに対して、具体例を示しながら改善点を示している点がわかりやすい。","- AI_19_085:I think it's good that the feedback includes specific examples of the content that should be included.
- AI_19_087:The point of showing specific examples to show the areas for improvement in the student's reflection is easy to understand.","AI_19_085, AI_19_087"
"AI-043","具体例を挙げた助言","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","Advice with specific examples","- AI_20_115:内容の薄い記録に対して、誉めつつも記録の基準を満たせるようにフィードバックを行なっていると感じる。改訂の提案は具体的な文としない方が良いと考える。","- AI_20_115:I felt that the feedback was given in a way that praised the record, but also emphasized the need to meet the criteria for the record, even though the record was thin on content. I think it would be better if the suggestions for revision were not given in specific sentences.","AI_20_115"
"AI-044","具体例を挙げた改善点の指摘","positive","原則に従った整ったフィードバック","フィードバック基準や基本構造への準拠","AI","Well-structured feedback that adheres to principles","Adherence to the feedback criteria and structure","suggestions for improvements with specific examples","- AI_21_120:学生を応援する言葉を述べている点が良い。記録の取り方や深掘りした記載の仕方を具体例を用いて説明している点が良い。","- AI_21_120:The fact that it gives words of encouragement to the students is good. The fact that it explains how to record and how to write in depth using specific examples is good.","AI_21_120"
